ano;meses_observados;novos_projetos_contratados;valor_projetos_contratados;projetos_concluidos;tipo_ano
2015;12;70;131220196,12;62;Ano completo
2016;12;107;180895242,23000002;101;Ano completo
2017;12;212;354889425,37;201;Ano completo
2018;12;256;433436288,71000004;240;Ano completo
2019;12;215;336004788,96;204;Ano completo
2020;12;249;251120837,55;236;Ano completo
2021;12;375;472130197,75;352;Ano completo
2022;12;442;663010852,09;387;Ano completo
2023;12;481;834475195,75;393;Ano completo
2024;12;647;1170312337,75;354;Ano completo
2025;12;821;1634622179,4299998;116;Ano completo
2026;5;307;533923200,02;0;Ano parcial
